  Resolution      |CTFsim|    EPA( Ln|F| )    EPA(Ln|F| - Bg)    CCC
   13.279874      0.161950     10.929635      -0.039153       0.675267 
   13.196875      0.201572     10.929364      -0.039067       0.677507 
   13.114907      0.241108     10.929062      -0.038799       0.679789 
   13.033951      0.280488     10.929218      -0.038328       0.682079 
   12.953988      0.319637     10.929557      -0.037691       0.684345 
   12.875000      0.358480     10.930075      -0.036861       0.686550 
   12.796969      0.396941     10.930612      -0.035861       0.688663 
   12.719879      0.434941     10.931392      -0.034719       0.690658 
   12.643713      0.472400     10.932265      -0.033445       0.692510 
   12.568453      0.509240     10.933366      -0.032044       0.694193 
   12.494082      0.545377     10.934566      -0.030519       0.695694 
   12.420588      0.580730     10.935718      -0.028877       0.697007 
   12.347953      0.615216     10.937023      -0.027163       0.698143 
   12.276163      0.648752     10.938513      -0.025402       0.699128 
   12.205202      0.681255     10.939903      -0.023579       0.700007 
   12.135057      0.712641     10.941449      -0.021730       0.700844 
   12.065714      0.742828     10.942912      -0.019818       0.701802 
   11.997159      0.771733     10.944588      -0.017946       0.702971 
   11.929379      0.799274     10.946104      -0.016096       0.704365 
   11.862360      0.825372     10.947570      -0.014274       0.706104 
   11.796089      0.849945     10.948936      -0.012524       0.708313 
   11.730556      0.872918     10.950291      -0.010818       0.711118 
   11.665746      0.894212     10.951632      -0.009159       0.714638 
   11.601648      0.913756     10.952837      -0.007638       0.718968 
   11.538251      0.931475     10.953732      -0.006248       0.724181 
   11.475543      0.947303     10.954613      -0.004982       0.730683 
   11.413513      0.961171     10.955387      -0.003859       0.738164 
   11.352151      0.973019     10.956085      -0.002806       0.746587 
   11.291444      0.982785     10.956646      -0.001973       0.755884 
   11.231383      0.990415     10.956949      -0.001318       0.765951 
   11.171958      0.995856     10.957173      -0.000839       0.776654 
   11.113158      0.999062     10.956980      -0.000545       0.787835 
   11.054974      0.999989     10.956784      -0.000340       0.799320 
   10.997396      0.998601     10.956468      -0.000421       0.810920 
   10.940414      0.994864     10.955828      -0.000682       0.822473 
   10.884021      0.988752     10.954983      -0.001125       0.833780 
   10.828205      0.980243     10.953869      -0.001747       0.844622 
   10.772959      0.969322     10.952867      -0.002466       0.854922 
   10.718274      0.955980     10.951561      -0.003468       0.864559 
   10.664142      0.940215     10.950003      -0.004655       0.873447 
   10.610553      0.922030     10.948294      -0.006018       0.881537 
   10.557500      0.901437     10.946590      -0.007545       0.888825 
   10.504975      0.878454     10.944473      -0.009229       0.895354 
   10.452971      0.853105     10.942406      -0.010989       0.901206 
   10.401478      0.825425     10.939975      -0.012979       0.906523 
   10.350491      0.795453     10.937561      -0.015101       0.911053 
   10.300000      0.763238     10.934994      -0.017340       0.915178 
   10.250000      0.728834     10.932350      -0.019663       0.918965 
   10.200483      0.692305     10.929484      -0.022006       0.922467 
   10.151443      0.653723     10.926805      -0.024460       0.925721 
   10.102871      0.613168     10.923838      -0.026945       0.928745 
   10.054762      0.570726     10.921041      -0.029424       0.931585 
   10.007109      0.526491     10.918268      -0.031864       0.934271 
    9.959906      0.480567     10.915627      -0.034219       0.936784 
    9.913145      0.433063     10.913072      -0.036502       0.939136 
    9.866822      0.384098     10.910656      -0.038671       0.941337 
    9.820930      0.333796     10.908284      -0.040662       0.943368 
    9.775463      0.282289     10.906185      -0.042473       0.945206 
    9.730414      0.229717     10.904302      -0.044055       0.946822 
    9.685780      0.176222     10.902700      -0.045387       0.948188 
    9.641553      0.121960     10.901358      -0.046462       0.949272 
    9.597727      0.067085     10.900161      -0.047248       0.950043 
    9.554298      0.011763     10.899296      -0.047758       0.950466 
    9.511261      0.043841     10.898749      -0.047950       0.950511 
    9.468610      0.099553     10.898521      -0.047854       0.950141 
    9.426339      0.155196     10.898737      -0.047439       0.949452 
    9.384444      0.210589     10.899117      -0.046726       0.948449 
    9.342920      0.265549     10.899768      -0.045742       0.947146 
    9.301763      0.319890     10.900772      -0.044492       0.945560 
    9.260965      0.373424     10.901917      -0.043030       0.943720 
    9.220524      0.425964     10.903331      -0.041328       0.941659 
    9.180435      0.477317     10.904972      -0.039454       0.939387 
    9.140693      0.527296     10.906768      -0.037429       0.936982 
    9.101294      0.575713     10.908545      -0.035287       0.934455 
    9.062232      0.622380     10.910415      -0.033075       0.931827 
    9.023504      0.667114     10.912512      -0.030816       0.929152 
    8.985106      0.709733     10.914548      -0.028547       0.926485 
    8.947034      0.750061     10.916520      -0.026297       0.923884 
    8.909283      0.787925     10.918460      -0.024115       0.921399 
    8.871849      0.823160     10.920373      -0.022019       0.919075 
    8.834728      0.855605     10.921973      -0.020048       0.916952 
    8.797916      0.885108     10.923671      -0.018216       0.915122 
    8.761411      0.911525     10.925061      -0.016560       0.913570 
    8.725206      0.934720     10.926220      -0.015077       0.912313 
    8.689301      0.954568     10.927246      -0.013822       0.911362 
    8.653688      0.970954     10.928023      -0.012773       0.910717 
    8.618367      0.983774     10.928495      -0.011979       0.910375 
    8.583333      0.992937     10.928821      -0.011421       0.910330 
    8.548583      0.998363     10.928943      -0.011127       0.910571 
    8.514112      0.999989     10.928790      -0.011085       0.911085 
    8.479919      0.997761     10.928297      -0.011300       0.911857 
    8.446000      0.991645     10.927589      -0.011768       0.912849 
    8.412351      0.981618     10.926697      -0.012499       0.914013 
    8.378968      0.967676     10.925554      -0.013476       0.915372 
    8.345850      0.949829     10.924154      -0.014683       0.916893 
    8.312992      0.928103     10.922496      -0.016113       0.918528 
    8.280392      0.902545     10.920604      -0.017719       0.920218 
    8.248047      0.873214     10.918551      -0.019541       0.921941 
    8.215953      0.840190     10.916333      -0.021514       0.923673 
    8.184109      0.803568     10.914170      -0.023614       0.925388 
    8.152510      0.763463     10.911690      -0.025827       0.927046 
    8.121154      0.720005     10.909266      -0.028049       0.928578 
    8.090038      0.673340     10.906761      -0.030369       0.929999 
    8.059160      0.623636     10.904230      -0.032680       0.931286 
    8.028517      0.571074     10.901924      -0.034959       0.932423 
    7.998106      0.515850     10.899534      -0.037162       0.933413 
    7.967925      0.458181     10.897289      -0.039196       0.934231 
    7.937970      0.398291     10.895130      -0.041154       0.934852 
    7.908240      0.336425     10.893169      -0.042939       0.935257 
    7.878731      0.272839     10.891442      -0.044521       0.935438 
    7.849442      0.207801     10.889961      -0.045872       0.935423 
    7.820370      0.141595     10.888745      -0.046972       0.935204 
    7.791513      0.074507     10.887888      -0.047747       0.934785 
    7.762867      0.006842     10.887045      -0.048304       0.934183 
    7.734432      0.061095     10.886760      -0.048567       0.933419 
    7.706204      0.128989     10.886640      -0.048546       0.932523 
    7.678182      0.196514     10.886812      -0.048235       0.931532 
    7.650362      0.263354     10.887216      -0.047612       0.930448 
    7.622744      0.329174     10.887841      -0.046765       0.929277 
    7.595324      0.393652     10.888875      -0.045679       0.928037 
    7.568100      0.456459     10.890103      -0.044351       0.926747 
    7.541071      0.517274     10.891543      -0.042827       0.925419 
    7.514235      0.575777     10.893108      -0.041126       0.924066 
    7.487589      0.631651     10.894957      -0.039304       0.922697 
    7.461131      0.684595     10.896723      -0.037384       0.921317 
    7.434859      0.734312     10.898618      -0.035410       0.919930 
    7.408772      0.780520     10.900572      -0.033408       0.918562 
    7.382867      0.822948     10.902430      -0.031426       0.917248 
    7.357143      0.861340     10.904304      -0.029509       0.916050 
    7.331597      0.895458     10.905993      -0.027707       0.914963 
    7.306228      0.925084     10.907443      -0.026034       0.914001 
    7.281034      0.950018     10.908974      -0.024570       0.913231 
    7.256014      0.970081     10.910152      -0.023296       0.912697 
    7.231164      0.985121     10.911172      -0.022294       0.912446 
    7.206485      0.995007     10.911905      -0.021533       0.912514 
    7.181973      0.999636     10.912206      -0.021090       0.912924 
    7.157627      0.998931     10.912522      -0.020926       0.913675 
    7.133446      0.992845     10.912348      -0.021085       0.914795 
    7.109427      0.981358     10.911612      -0.021523       0.916388 
    7.085570      0.964481     10.911071      -0.022282       0.918353 
    7.061873      0.942255     10.909878      -0.023336       0.920653 
    7.038333      0.914751     10.908516      -0.024656       0.923224 
    7.014950      0.882074     10.907053      -0.026223       0.925989 
    6.991722      0.844359     10.905262      -0.027970       0.928853 
    6.968647      0.801769     10.903299      -0.029916       0.931714 
    6.945724      0.754503     10.901165      -0.031989       0.934456 
    6.922951      0.702786     10.899113      -0.034137       0.936965 
    6.900327      0.646876     10.897057      -0.036297       0.939281 
    6.877850      0.587057     10.894927      -0.038421       0.941167 
    6.855519      0.523641     10.892842      -0.040398       0.942556 
    6.833333      0.456972     10.890945      -0.042261       0.943358 
    6.811290      0.387408     10.889309      -0.043906       0.943501 
    6.789389      0.315340     10.888037      -0.045299       0.942931 
    6.767628      0.241173     10.887148      -0.046378       0.941628 
    6.746006      0.165335     10.886458      -0.047086       0.939602 
    6.724522      0.088275     10.886144      -0.047493       0.936855 
    6.703175      0.010444     10.886139      -0.047570       0.933419 
    6.681962      0.067682     10.886531      -0.047290       0.929250 
    6.660883      0.145630     10.887196      -0.046706       0.924413 
    6.639937      0.222912     10.888119      -0.045771       0.919079 
    6.619122      0.299036     10.889295      -0.044637       0.913356 
    6.598437      0.373521     10.890806      -0.043270       0.907360 
    6.577882      0.445875     10.892450      -0.041751       0.901211 
    6.557454      0.515627     10.894329      -0.040079       0.895027 
    6.537152      0.582305     10.896117      -0.038341       0.888923 
    6.516975      0.645451     10.897980      -0.036536       0.883011 
    6.496923      0.704630     10.899854      -0.034761       0.877370 
    6.476994      0.759420     10.901845      -0.033017       0.871982 
    6.457187      0.809428     10.903597      -0.031372       0.867027 
    6.437500      0.854281     10.905198      -0.029835       0.862547 
    6.417933      0.893638     10.906636      -0.028454       0.858551 
    6.398485      0.927190     10.908064      -0.027278       0.855008 
    6.379154      0.954664     10.909215      -0.026332       0.851843 
    6.359940      0.975822     10.910072      -0.025652       0.848969 
    6.340841      0.990467     10.910667      -0.025241       0.846380 
    6.321856      0.998443     10.911045      -0.025115       0.844081 
    6.302985      0.999641     10.911015      -0.025299       0.842056 
    6.284226      0.993994     10.910740      -0.025815       0.840322 
    6.265579      0.981483     10.910139      -0.026605       0.838785 
    6.247041      0.962138     10.909128      -0.027687       0.837411 
    6.228613      0.936037     10.908081      -0.029011       0.836176 
    6.210294      0.903307     10.906782      -0.030508       0.835067 
    6.192082      0.864124     10.905176      -0.032217       0.834082 
    6.173976      0.818713     10.903652      -0.034053       0.833226 
    6.155977      0.767348     10.901870      -0.035970       0.832512 
    6.138082      0.710346     10.900306      -0.037894       0.831918 
    6.120290      0.648075     10.898744      -0.039745       0.831497 
    6.102601      0.580945     10.897176      -0.041536       0.831262 
    6.085014      0.509404     10.895741      -0.043191       0.831221 
    6.067529      0.433944     10.894400      -0.044644       0.831372 
    6.050143      0.355087     10.893492      -0.045874       0.831707 
    6.032857      0.273393     10.892883      -0.046799       0.832209 
    6.015669      0.189450     10.892436      -0.047491       0.832851 
    5.998580      0.103864     10.892248      -0.047902       0.833574 
    5.981586      0.017274     10.892571      -0.048026       0.834125 
    5.964689      0.069679     10.892968      -0.047916       0.834494 
    5.947887      0.156331     10.893604      -0.047541       0.834606 
    5.931180      0.242014     10.894423      -0.047018       0.834413 
    5.914566      0.326066     10.895356      -0.046356       0.833902 
    5.898045      0.407820     10.896377      -0.045582       0.833086 
    5.881616      0.486623     10.897455      -0.044737       0.832003 
    5.865278      0.561839     10.898753      -0.043866       0.830711 
    5.849030      0.632842     10.899949      -0.042949       0.829281 
    5.832873      0.699046     10.901166      -0.042084       0.827787 
    5.816804      0.759882     10.902412      -0.041232       0.826229 
    5.800824      0.814828     10.903428      -0.040435       0.824753 
    5.784932      0.863394     10.904615      -0.039673       0.823371 
    5.769125      0.905143     10.905560      -0.038960       0.822123 
    5.753406      0.939682     10.906519      -0.038317       0.821095 
    5.737772      0.966676     10.907328      -0.037764       0.820349 
    5.722222      0.985847     10.908134      -0.037294       0.819932 
    5.706757      0.996977     10.908913      -0.036941       0.819883 
    5.691375      0.999914     10.909595      -0.036675       0.820237 
    5.676075      0.994572     10.910107      -0.036577       0.821171 
    5.660858      0.980934     10.910369      -0.036632       0.822700 
    5.645722      0.959051     10.910641      -0.036831       0.824755 
    5.630667      0.929048     10.910605      -0.037193       0.827335 
    5.615692      0.891116     10.910431      -0.037670       0.830410 
    5.600796      0.845522     10.910107      -0.038273       0.833920 
    5.585979      0.792600     10.909745      -0.038972       0.837783 
    5.571240      0.732747     10.909415      -0.039746       0.841903 
    5.556579      0.666436     10.909012      -0.040519       0.846190 
    5.541995      0.594188     10.908628      -0.041282       0.850567 
    5.527487      0.516593     10.908312      -0.041949       0.854937 
    5.513055      0.434295     10.908188      -0.042541       0.859331 
    5.498698      0.347980     10.908072      -0.042987       0.863650 
    5.484416      0.258390     10.908224      -0.043279       0.867856 
    5.470207      0.166289     10.908451      -0.043394       0.871891 
    5.456072      0.072487     10.909102      -0.043322       0.875643 
    5.442010      0.022186     10.909662      -0.043087       0.879010 
    5.428020      0.116885     10.910534      -0.042672       0.881885 
    5.414103      0.210747     10.911494      -0.042115       0.884149 
    5.400256      0.302917     10.912679      -0.041411       0.885584 
    5.386479      0.392539     10.913791      -0.040620       0.886183 
    5.372774      0.478767     10.915061      -0.039734       0.886016 
    5.359137      0.560787     10.916366      -0.038805       0.885069 
    5.345570      0.637804     10.917708      -0.037831       0.883329 
    5.332071      0.709069     10.919127      -0.036881       0.880778 
    5.318640      0.773871     10.920552      -0.035956       0.877498 
    5.305276      0.831561     10.921961      -0.035107       0.873707 
    5.291980      0.881541     10.923104      -0.034348       0.869582 
    5.278750      0.923283     10.924192      -0.033712       0.865389 
    5.265586      0.956334     10.925109      -0.033236       0.861144 
    5.252488      0.980317     10.925834      -0.032917       0.856985 
    5.239454      0.994940     10.926402      -0.032793       0.852984 
    5.226485      0.999997     10.926880      -0.032841       0.849234 
    5.213580      0.995375     10.927100      -0.033079       0.845823 
    5.200739      0.981052     10.927109      -0.033487       0.842832 
    5.187961      0.957104     10.927095      -0.034086       0.840329 
    5.175245      0.923701     10.926743      -0.034822       0.838376 
    5.162591      0.881110     10.926351      -0.035725       0.837020 
    5.150000      0.829693     10.926000      -0.036736       0.836400 
    5.137470      0.769901     10.925158      -0.037868       0.836523 
    5.125000      0.702282     10.924322      -0.039039       0.837224 
    5.112591      0.627459     10.923660      -0.040252       0.838457 
    5.100242      0.546143     10.923097      -0.041396       0.840168 
    5.087952      0.459117     10.922525      -0.042496       0.842307 
    5.075721      0.367227     10.922073      -0.043457       0.844821 
    5.063549      0.271386     10.921856      -0.044216       0.847577 
    5.051435      0.172550     10.921692      -0.044752       0.850356 
    5.039380      0.071721     10.922078      -0.044977       0.853080 
    5.027381      0.030065     10.922550      -0.044968       0.855483 
    5.015440      0.131761     10.923317      -0.044663       0.857524 
    5.003554      0.232295     10.924426      -0.044115       0.859039 
    4.991726      0.330611     10.925701      -0.043313       0.859843 
    4.979953      0.425651     10.927446      -0.042313       0.859683 
    4.968235      0.516391     10.929009      -0.041184       0.858264 
    4.956573      0.601841     10.930735      -0.039985       0.855245 
    4.944965      0.681046     10.932434      -0.038736       0.850348 
    4.933411      0.753125     10.934159      -0.037521       0.843626 
    4.921911      0.817249     10.935873      -0.036320       0.835146 
    4.910465      0.872682     10.937242      -0.035281       0.824890 
    4.899072      0.918761     10.938759      -0.034351       0.813009 
    4.887732      0.954925     10.940144      -0.033611       0.799630 
    4.876443      0.980719     10.941205      -0.033034       0.784939 
    4.865207      0.995791     10.942258      -0.032676       0.769187 
    4.854023      0.999911     10.943011      -0.032472       0.752693 
    4.842890      0.992963     10.943524      -0.032495       0.735830 
    4.831808      0.974957     10.943923      -0.032699       0.719006 
    4.820776      0.946024     10.944035      -0.033051       0.702554 
    4.809795      0.906426     10.944135      -0.033548       0.686837 
    4.798863      0.856538     10.944127      -0.034107       0.672287 
    4.787982      0.796866     10.943933      -0.034812       0.659233 
    4.777149      0.728029     10.943830      -0.035554       0.647928 
    4.766366      0.650755     10.943424      -0.036325       0.638552 
    4.755630      0.565878     10.943286      -0.037071       0.631230 
    4.744944      0.474329     10.943138      -0.037740       0.626004 
    4.734305      0.377123     10.943174      -0.038348       0.622824 
    4.723714      0.275359     10.943078      -0.038843       0.621539 
    4.713170      0.170186     10.943405      -0.039182       0.621546 
    4.702672      0.062823     10.943856      -0.039354       0.622325 
    4.692222      0.045494     10.944507      -0.039332       0.623364 
    4.681818      0.153485     10.945312      -0.039099       0.624096 
    4.671460      0.259878     10.946388      -0.038663       0.623885 
    4.661148      0.363397     10.947562      -0.038037       0.622060 
    4.650881      0.462790     10.948958      -0.037209       0.618049 
    4.640659      0.556846     10.950413      -0.036229       0.611506 
    4.630483      0.644401     10.952138      -0.035104       0.602378 
    4.620350      0.724363     10.954050      -0.033915       0.591168 
    4.610262      0.795719     10.955822      -0.032698       0.577607 
    4.600218      0.857552     10.957646      -0.031525       0.561931 
    4.590218      0.909051     10.959221      -0.030460       0.544507 
    4.580260      0.949526     10.960848      -0.029542       0.525822 
    4.570346      0.978417     10.961979      -0.028871       0.506469 
    4.560475      0.995300     10.963047      -0.028423       0.487117 
    4.550647      0.999897     10.963752      -0.028268       0.468472 
    4.540860      0.992080     10.964293      -0.028337       0.451234 
    4.531116      0.971877     10.964665      -0.028653       0.436422 
    4.521413      0.939469     10.964858      -0.029129       0.424293 
    4.511752      0.895194     10.964878      -0.029748       0.415392 
    4.502132      0.839548     10.964851      -0.030443       0.410049 
    4.492553      0.773167     10.964712      -0.031164       0.408447 
    4.483015      0.696840     10.964705      -0.031870       0.410626 
    4.473517      0.611480     10.964628      -0.032535       0.416486 
    4.464059      0.518132     10.964608      -0.033110       0.425774 
    4.454641      0.417957     10.964810      -0.033570       0.438019 
    4.445263      0.312203     10.965249      -0.033894       0.452524 
    4.435925      0.202216     10.965672      -0.034029       0.468541 
    4.426625      0.089397     10.966400      -0.033979       0.484898 
    4.417364      0.024794     10.967401      -0.033677       0.501237 
    4.408142      0.138867     10.968574      -0.033120       0.516750 
    4.398958      0.251325     10.969916      -0.032289       0.530626 
    4.389813      0.360671     10.971630      -0.031187       0.542021 
    4.380705      0.465445     10.973777      -0.029830       0.550103 
    4.371635      0.564225     10.976032      -0.028264       0.554476 
    4.362603      0.655663     10.978410      -0.026519       0.554956 
    4.353608      0.738496     10.980966      -0.024697       0.551371 
    4.344650      0.811561     10.983540      -0.022855       0.543930 
    4.335729      0.873823     10.985977      -0.021115       0.533301 
    4.326844      0.924380     10.988141      -0.019520       0.520047 
    4.317996      0.962484     10.990104      -0.018211       0.504884 
    4.309184      0.987549     10.991771      -0.017195       0.488632 
    4.300407      0.999162     10.993079      -0.016549       0.472161 
    4.291667      0.997092     10.993976      -0.016244       0.456342 
    4.282961      0.981296     10.994730      -0.016302       0.441996 
    4.274292      0.951919     10.995096      -0.016678       0.429457 
    4.265656      0.909297     10.995123      -0.017332       0.419701 
    4.257056      0.853955     10.994858      -0.018208       0.413155 
    4.248491      0.786597     10.994447      -0.019238       0.410230 
    4.239960      0.708108     10.994126      -0.020381       0.411110 
    4.231463      0.619528     10.993795      -0.021558       0.415817 
    4.223000      0.522058     10.993304      -0.022736       0.424219 
    4.214571      0.417037     10.993023      -0.023804       0.436061 
    4.206175      0.305909     10.992780      -0.024726       0.450939 
    4.197813      0.190237     10.992857      -0.025396       0.468054 
    4.189484      0.071645     10.993204      -0.025753       0.486453 
    4.181188      0.048179     10.993680      -0.025764       0.505212 
    4.172925      0.167508     10.994934      -0.025356       0.523133 
    4.164694      0.284623     10.996365      -0.024584       0.539243 
    4.156496      0.397805     10.998363      -0.023397       0.552638 
    4.148330      0.505398     11.000566      -0.021912       0.562934 
    4.140196      0.605792     11.003036      -0.020172       0.569895 
    4.132094      0.697489     11.005732      -0.018300       0.573473 
    4.124023      0.779090     11.008301      -0.016382       0.573811 
    4.115984      0.849345     11.010791      -0.014506       0.571316 
    4.107976      0.907157     11.013254      -0.012802       0.566600 
    4.100000      0.951603     11.015574      -0.011323       0.559910 
    4.092054      0.981958     11.017400      -0.010223       0.551914 
    4.084139      0.997695     11.019004      -0.009461       0.543332 
    4.076255      0.998508     11.019914      -0.009157       0.534888 
    4.068401      0.984310     11.020666      -0.009265       0.527270 
    4.060577      0.955242     11.020923      -0.009818       0.521095 
    4.052783      0.911669     11.020532      -0.010799       0.516876 
    4.045019      0.854184     11.020118      -0.012127       0.515010 
